"Id" "GarageCars" "GarageArea" "WoodDeckSF" "OpenPorchSF" "EnclosedPorch" "X3SsnPorch" "ScreenPorch" "PoolArea" "MiscVal" "DtSold" "PavedDrive.fP" "PavedDrive.fY" "SaleType.fCon" "SaleType.fConLD" "SaleType.fConLI" "SaleType.fConLw" "SaleType.fCWD" "SaleType.fNew" "SaleType.fOth" "SaleType.fWD" "GarageFinish.fNone" "GarageFinish.fRFn" "GarageFinish.fUnf" "GarageCond.fFa" "GarageCond.fGd" "GarageCond.fNone" "GarageCond.fPo" "GarageCond.fTA" "GarageQual.fFa" "GarageQual.fGd" "GarageQual.fNone" "GarageQual.fPo" "GarageQual.fTA" "PoolQC.fFa" "PoolQC.fGd" "PoolQC.fNone" "Fence.fGdWo" "Fence.fMnPrv" "Fence.fMnWw" "Fence.fNone" "MiscFeature.fNone" "MiscFeature.fOthr" "MiscFeature.fShed" "MiscFeature.fTenC"
"1" 1 2 548 0 61 0 0 0 0 0 2008-02-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"2" 2 2 460 298 0 0 0 0 0 0 2007-05-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"3" 3 2 608 0 42 0 0 0 0 0 2008-09-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"4" 4 3 642 0 35 272 0 0 0 0 2006-02-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"5" 5 3 836 192 84 0 0 0 0 0 2008-12-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"6" 6 2 480 40 30 0 320 0 0 700 2009-10-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"7" 7 2 636 255 57 0 0 0 0 0 2007-08-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"8" 8 2 484 235 204 228 0 0 0 350 2009-11-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0
"9" 9 2 468 90 0 205 0 0 0 0 2008-04-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0
"10" 10 1 205 0 4 0 0 0 0 0 2008-01-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0
"11" 11 1 384 0 0 0 0 0 0 0 2008-02-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"12" 12 3 736 147 21 0 0 0 0 0 2006-07-01 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"13" 13 1 352 140 0 0 0 176 0 0 2008-09-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"14" 14 3 840 160 33 0 0 0 0 0 2007-08-01 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"15" 15 1 352 0 213 176 0 0 0 0 2008-05-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0
"16" 16 2 576 48 112 0 0 0 0 0 2007-07-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
"17" 17 2 480 0 0 0 0 0 0 700 2010-03-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0
"18" 18 2 516 0 0 0 0 0 0 500 2006-10-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0
"19" 19 2 576 0 102 0 0 0 0 0 2008-06-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"20" 20 1 294 0 0 0 0 0 0 0 2009-05-01 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"21" 21 3 853 240 154 0 0 0 0 0 2006-11-01 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"22" 22 1 280 0 0 205 0 0 0 0 2007-06-01 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
"23" 23 2 534 171 159 0 0 0 0 0 2008-09-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"24" 24 2 572 100 110 0 0 0 0 0 2007-06-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"25" 25 1 270 406 90 0 0 0 0 0 2010-05-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"26" 26 3 890 0 56 0 0 0 0 0 2009-07-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"27" 27 2 576 222 32 0 0 0 0 0 2010-05-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"28" 28 3 772 0 50 0 0 0 0 0 2010-05-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"29" 29 1 319 288 258 0 0 0 0 0 2006-12-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"30" 30 1 240 49 0 87 0 0 0 0 2008-05-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0
"31" 31 1 250 0 54 172 0 0 0 0 2008-07-01 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"32" 32 1 271 0 65 0 0 0 0 0 2008-06-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"33" 33 2 484 0 30 0 0 0 0 0 2008-01-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"34" 34 2 447 0 38 0 0 0 0 0 2010-04-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"35" 35 2 556 203 47 0 0 0 0 0 2007-08-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"36" 36 3 691 113 32 0 0 0 0 0 2006-09-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"37" 37 2 672 392 64 0 0 0 0 0 2009-06-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"38" 38 2 498 0 0 0 0 0 0 0 2009-10-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"39" 39 1 246 0 52 0 0 0 0 0 2010-01-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"40" 40 0 0 0 0 0 0 0 0 0 2008-06-01 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0
"41" 41 2 440 0 138 0 0 0 0 0 2006-12-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0
"42" 42 1 308 0 104 0 0 0 0 0 2007-07-01 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"43" 43 2 504 240 0 0 0 0 0 0 2007-12-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"44" 44 1 308 145 0 0 0 0 0 0 2008-07-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"45" 45 1 300 0 0 0 0 0 0 0 2006-05-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"46" 46 2 576 196 82 0 0 0 0 0 2010-02-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"47" 47 2 670 168 43 0 0 198 0 0 2009-08-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"48" 48 3 826 0 146 0 0 0 0 0 2007-07-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"49" 49 0 0 0 0 102 0 0 0 0 2009-06-01 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0
"50" 50 1 386 0 0 0 0 0 0 0 2007-01-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"51" 51 2 388 0 75 0 0 0 0 0 2007-07-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"52" 52 2 528 112 0 0 0 0 0 400 2006-09-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"53" 53 2 516 106 0 0 0 0 0 0 2010-05-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"54" 54 3 894 857 72 0 0 0 0 0 2006-11-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"55" 55 2 572 0 50 0 0 0 0 0 2007-02-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"56" 56 2 576 0 0 0 407 0 0 0 2008-07-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"57" 57 2 480 115 0 0 0 0 0 0 2009-08-01 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"58" 58 2 565 0 70 0 0 0 0 0 2006-08-01 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"59" 59 3 641 192 0 37 0 0 0 0 2006-10-01 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"60" 60 1 352 196 0 0 0 0 0 0 2008-01-01 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"61" 61 2 576 0 50 0 0 0 0 0 2006-05-01 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"62" 62 1 288 0 0 144 0 0 0 0 2007-03-01 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
