"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,"60","RL",65,8450,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","High","7","5",2003,2003,"Low","Low","VinylSd","VinylSd","BrkFace",196,"Gd","TA","Other","Gd","High","No","High",706,"Unf",0,150,856,"GasA","Ex","Y","High",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"High",0,"Low","High",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,"Low","None","None",0,2,2008,"Med","Med_High",208500
2,"20","RL",80,9600,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Low","Norm","Fam","Med","6","8",1976,1976,"Low","Low","Med","Low","None",0,"TA","TA","Stone","Gd","High","Gd","Med",978,"Unf",0,284,1262,"GasA","Ex","Y","High",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"High",1,"TA","High",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,"Low","None","None",0,5,2007,"Med","Med_High",181500
3,"60","RL",68,11250,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","High","7","5",2001,2002,"Low","Low","VinylSd","VinylSd","BrkFace",162,"Gd","TA","Other","Gd","High","Med","High",486,"Unf",0,434,920,"GasA","Ex","Y","High",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"High",1,"TA","High",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,"Low","None","None",0,9,2008,"Med","Med_High",223500
4,"70","RL",60,9550,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","High","7","5",1915,1970,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",216,"Unf",0,540,756,"GasA","Med","Y","High",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"High",1,"TA","Med",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,"Low","None","None",0,2,2006,"Med","Med",140000
5,"60","RL",84,14260,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","High","8","5",2000,2000,"Low","Low","VinylSd","VinylSd","BrkFace",350,"Gd","TA","Other","Gd","High","Med","High",655,"Unf",0,490,1145,"GasA","Ex","Y","High",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"High",1,"TA","High",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,"Low","None","None",0,12,2008,"Med","Med_High",250000
6,"50","RL",85,14115,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med","Med","Norm","Fam","Low","5","5",1993,1995,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","No","High",732,"Unf",0,64,796,"GasA","Ex","Y","High",796,566,0,1362,1,0,1,1,1,1,"TA",5,"High",0,"Low","High",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,"Low","Med","Shed",700,10,2009,"Med","Med_High",143000
7,"20","RL",75,10084,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam","Med","8","5",2004,2005,"Low","Low","VinylSd","VinylSd","Stone",186,"Gd","TA","Other","Ex","High","Med","High",1369,"Unf",0,317,1686,"GasA","Ex","Y","High",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,"Low","None","None",0,8,2007,"Med","Med_High",307000
8,"60","RL",71.0990523816635,10382,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","High","Norm","Fam","High","7","6",1973,1973,"Low","Low","High","Med","Stone",240,"TA","TA","Stone","Gd","High","Med","Med",859,"BLQ",32,216,1107,"GasA","Ex","Y","High",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"High",2,"TA","High",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,"Low","None","Shed",350,11,2009,"Med","Med_High",200000
9,"50","Othr",51,6120,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Low","Norm","Fam","Low","7","5",1931,1950,"Low","Low","Highest","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,"Unf",0,952,952,"GasA","Med","Y","Med",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Med",2,"TA","Med",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,"Low","None","None",0,4,2008,"Med","Med",129900
10,"190","RL",50,7420,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Low","Artery","fmCon","1.5Unf","5","6",1939,1950,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","High",851,"Unf",0,140,991,"GasA","Ex","Y","High",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"High",2,"TA","High",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,"Low","None","None",0,1,2008,"Med","Med_High",118000
11,"20","RL",70,11200,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","5",1965,1965,"Med","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Low",906,"Unf",0,134,1040,"GasA","Ex","Y","High",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"High",0,"Low","Med",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,"Low","None","None",0,2,2008,"Med","Med_High",129500
12,"60","RL",85,11924,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","High","9","5",2005,2006,"Med","Low","Med","Low","Stone",286,"Ex","TA","Other","Ex","High","No","High",998,"Unf",0,177,1175,"GasA","Ex","Y","High",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"High",2,"TA","Highest",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,"Low","None","None",0,7,2006,"High","High",345000
13,"20","RL",77.9066685690595,12968,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1962,1962,"Med","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Med",737,"Unf",0,175,912,"GasA","Med","Y","High",912,0,0,912,1,0,1,0,2,1,"TA",4,"High",0,"Low","Med",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,"Low","None","None",0,9,2008,"Med","Med_High",144000
14,"20","RL",91,10652,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","Med","7","5",2006,2007,"Low","Low","VinylSd","VinylSd","Stone",306,"Gd","TA","Other","Gd","High","Med","Med",0,"Unf",0,1494,1494,"GasA","Ex","Y","High",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,"Low","None","None",0,8,2007,"High","High",279500
15,"20","RL",72.515331387394,10920,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","6","5",1960,1960,"Med","Low","Med","Low","BrkFace",212,"TA","TA","Stone","TA","High","No","Low",733,"Unf",0,520,1253,"GasA","Med","Y","High",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"High",1,"Fa","High",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,"Low","Med","None",0,5,2008,"Med","Med_High",157000
16,"45","Othr",51,6120,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Med","Norm","Fam","1.5Unf","7","8",1929,2001,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,"Unf",0,832,832,"GasA","Ex","Y","Med",854,0,0,854,0,0,1,0,2,1,"TA",5,"High",0,"Low","Med",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,"Low","High","None",0,7,2007,"Med","Med_High",132000
17,"20","RL",73.3603603108874,11241,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam","Med","6","7",1970,1970,"Low","Low","Med","Low","BrkFace",180,"TA","TA","Stone","TA","High","No","Med",578,"Unf",0,426,1004,"GasA","Ex","Y","High",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"High",1,"TA","High",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,"Low","None","Shed",700,3,2010,"Med","Med_High",149000
18,"90","RL",72,10791,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","fmCon","Med","4","5",1967,1967,"Low","Low","Med","Low","None",0,"TA","TA","Slab","None","Med","None","None",0,"None",0,0,0,"GasA","Med","Y","High",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"High",0,"Low","Low",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,"Low","None","Shed",500,10,2006,"Med","Med_High",90000
19,"20","RL",66,13695,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","RRAe","Norm","Fam","Med","5","5",2004,2004,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","TA","High","No","High",646,"Unf",0,468,1114,"GasA","Ex","Y","High",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"High",0,"Low","Med",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,"Low","None","None",0,6,2008,"Med","Med_High",159000
20,"20","RL",70,7560,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1958,1965,"Med","Low","Highest","Med","None",0,"TA","TA","Stone","TA","High","No","Low",504,"Unf",0,525,1029,"GasA","Med","Y","High",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Med",0,"Low","High",1958,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,"Low","Med","None",0,5,2009,"Med","Med",139000
21,"60","RL",101,14215,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","High","8","5",2005,2006,"Low","Low","VinylSd","VinylSd","BrkFace",380,"Gd","TA","Other","Ex","High","Med","Med",0,"Unf",0,1158,1158,"GasA","Ex","Y","High",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"High",1,"TA","Highest",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,"Low","None","None",0,11,2006,"High","High",325300
22,"45","Othr",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","NotCulD","Gtl","Lowest","Med","Norm","Fam","1.5Unf","7","7",1930,1950,"Low","Low","Med","Low","None",0,"TA","TA","Other","TA","High","No","Med",0,"Unf",0,637,637,"GasA","Ex","Y","Med",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"High",1,"TA","High",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,"Low","High","None",0,6,2007,"Med","Med_High",139400
23,"20","RL",75,9742,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","Med","8","5",2002,2002,"Med","Low","VinylSd","VinylSd","BrkFace",281,"Gd","TA","Other","Gd","High","No","Med",0,"Unf",0,1777,1777,"GasA","Ex","Y","High",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,"Low","None","None",0,9,2008,"Med","Med_High",230000
24,"120","Othr",44,4224,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Med","Norm","Fam","Med","5","7",1976,1976,"Low","Low","CemntBd","Highest","None",0,"TA","TA","Other","Gd","High","No","High",840,"Unf",0,200,1040,"GasA","Med","Y","High",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"High",1,"TA","High",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,"Low","None","None",0,6,2007,"Med","Med_High",129900
25,"20","RL",65.4760561804733,8246,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","8",1968,2001,"Low","Low","Highest","Med","None",0,"TA","Gd","Stone","TA","High","Med","Low",188,"ALQ",668,204,1060,"GasA","Ex","Y","High",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"High",1,"TA","High",1968,"Unf",1,270,"TA","TA","Y",406,90,0,0,0,0,"Low","Med","None",0,5,2010,"Med","Med_High",154000
26,"20","RL",110,14230,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","Med","8","5",2007,2007,"Low","Low","VinylSd","VinylSd","Stone",640,"Gd","TA","Other","Gd","High","No","Med",0,"Unf",0,1566,1566,"GasA","Ex","Y","High",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2007,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,"Low","None","None",0,7,2009,"Med","Med_High",256300
27,"20","RL",60,7200,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","7",1951,2000,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","Med","Low",234,"Rec",486,180,900,"GasA","Med","Y","High",900,0,0,900,0,1,1,0,3,1,"Gd",5,"High",0,"Low","Med",2005,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,"Low","None","None",0,5,2010,"Med","Med_High",134800
28,"20","RL",98,11478,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","Med","8","5",2007,2008,"Low","Low","VinylSd","VinylSd","Stone",200,"Gd","TA","Other","Ex","High","No","High",1218,"Unf",0,486,1704,"GasA","Ex","Y","High",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,"Low","None","None",0,5,2010,"Med","Med_High",306000
29,"20","RL",47,16321,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1957,1997,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","Gd","Low",1277,"Unf",0,207,1484,"GasA","Med","Y","High",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"High",2,"TA","High",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,"Low","None","None",0,12,2006,"Med","Med_High",207500
30,"30","Othr",60,6324,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Low","Low","RRNn","Fam","Med","4","6",1927,1950,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,"Unf",0,520,520,"GasA","Med","N","High",520,0,0,520,0,0,1,0,1,1,"Fa",4,"High",0,"Low","Med",1920,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,"Low","None","None",0,5,2008,"Med","Med_High",68500
31,"70","C (all)",50,8500,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Low","Norm","Fam","High","4","4",1920,1950,"Low","Low","Highest","Med","None",0,"TA","Po","BrkTil","TA","High","No","Med",0,"Unf",0,649,649,"GasA","Med","N","High",649,668,0,1317,0,0,1,0,3,1,"TA",6,"High",0,"Low","Med",1920,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,"Low","Med","None",0,7,2008,"Med","Med_High",40000
32,"20","RL",66.2605378602273,8544,"Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","6",1966,2006,"Low","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Med",0,"Unf",0,1228,1228,"GasA","Med","Y","High",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"High",0,"Low","High",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,"Low","Med","None",0,6,2008,"Med","Med_High",149350
33,"20","RL",85,11049,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam","Med","8","5",2007,2007,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Ex","High","Med","Med",0,"Unf",0,1234,1234,"GasA","Ex","Y","High",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"High",0,"Low","High",2007,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,"Low","None","None",0,1,2008,"Med","Med_High",179900
34,"20","RL",70,10552,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Med","Norm","Fam","Med","5","5",1959,1959,"Med","Low","Highest","Med","None",0,"TA","TA","Stone","TA","High","No","Low",1018,"Unf",0,380,1398,"GasA","Med","Y","High",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"High",1,"TA","High",1959,"RFn",2,447,"TA","TA","Y",0,38,0,0,0,0,"Low","None","None",0,4,2010,"Med","Med_High",165500
35,"120","RL",60,7313,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam","Med","9","5",2005,2005,"Med","Low","Med","Low","BrkFace",246,"Ex","TA","Other","Ex","High","No","High",1153,"Unf",0,408,1561,"GasA","Ex","Y","High",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"High",1,"TA","High",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,"Low","None","None",0,8,2007,"Med","Med_High",277500
