"Id","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,"RL",91.9238815542512,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",7,"5",2003,2003,"Low","Low","VinylSd","BrkFace",196,"Gd","TA","Other","Gd","High","No","High","Unf",12.2474487139159,29.2574776766556,"GasA","Ex","Y","High",0,41.3521462562707,1,0,2,1,3,1,"Gd",8,"High",0,"Low","High",2003,23.4093998214393,"Y",0,7.81024967590665,0,0,0,0,"None","None",2,2008,"Med","Med_High",12.247694320221
2,20,"RL",97.9795897113271,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Low","Norm","Fam",6,"8",1976,1976,"Low","Low","Med","None",0,"TA","TA","Stone","Gd","High","Gd","Med","Unf",16.8522995463527,35.5246393366632,"GasA","Ex","Y","High",0,35.5246393366632,0,1,2,0,3,1,"TA",6,"High",1,"TA","High",1976,21.4476105895272,"Y",17.2626765016321,0,0,0,0,0,"None","None",5,2007,"Med","Med_High",12.109010932687
3,60,"RL",106.066017177982,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",7,"5",2001,2002,"Low","Low","VinylSd","BrkFace",162,"Gd","TA","Other","Gd","High","Med","High","Unf",20.8326666559997,30.3315017762062,"GasA","Ex","Y","High",0,42.2610932182309,1,0,2,1,3,1,"Gd",6,"High",1,"TA","High",2001,24.6576560118759,"Y",0,6.48074069840786,0,0,0,0,"None","None",9,2008,"Med","Med_High",12.3171666930358
4,70,"RL",97.7241014284603,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Med","Norm","Fam",7,"5",1915,1970,"Low","Low","Med","None",0,"TA","TA","BrkTil","TA","High","No","Med","Unf",23.2379000772445,27.495454169735,"GasA","Med","Y","High",0,41.4366987102013,1,0,1,0,3,1,"Gd",7,"High",1,"TA","Med",1998,25.3377189186399,"Y",0,5.91607978309962,272,0,0,0,"None","None",2,2006,"Med","Med",11.8493977015914
5,60,"RL",119.415241908225,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Med","Norm","Fam",8,"5",2000,2000,"Low","Low","VinylSd","BrkFace",350,"Gd","TA","Other","Gd","High","Med","High","Unf",22.1359436211787,33.8378486313773,"GasA","Ex","Y","High",0,46.8828326789242,1,0,2,1,4,1,"Gd",9,"High",1,"TA","High",2000,28.9136645896019,"Y",13.856406460551,9.16515138991168,0,0,0,0,"None","None",12,2008,"Med","Med_High",12.4292161968444
6,50,"RL",118.806565475145,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med","Med","Norm","Fam",5,"5",1993,1995,"Low","Low","VinylSd","None",0,"TA","TA","Other","Gd","High","No","High","Unf",8,28.2134719593318,"GasA","Ex","Y","High",0,36.9052841744919,1,0,1,1,1,1,"TA",5,"High",0,"Low","High",1993,21.9089023002066,"Y",6.32455532033676,5.47722557505166,0,320,0,0,"Med","Shed",10,2009,"Med","Med_High",11.870599909242
7,20,"RL",100.419121685066,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Med","Norm","Fam",8,"5",2004,2005,"Low","Low","VinylSd","Stone",186,"Gd","TA","Other","Ex","High","Med","High","Unf",17.8044938147649,41.0609303352956,"GasA","Ex","Y","High",0,41.1582312545134,1,0,2,0,3,1,"Gd",7,"High",1,"TA","High",2004,25.219040425837,"Y",15.9687194226713,7.54983443527075,0,0,0,0,"None","None",8,2007,"Med","Med_High",12.6346030265693
8,60,"RL",101.892099791888,"Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","High","Norm","Fam",7,"6",1973,1973,"Low","Low","High","Stone",240,"TA","TA","Stone","Gd","High","Med","Med","BLQ",14.6969384566991,33.2716095192282,"GasA","Ex","Y","High",0,45.7165178026498,1,0,2,1,3,1,"TA",7,"High",2,"TA","High",1973,22,"Y",15.3297097167559,14.2828568570857,228,0,0,0,"None","Shed",11,2009,"Med","Med_High",12.2060726455302
9,50,"Othr",78.2304288624318,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Low","Norm","Fam",7,"5",1931,1950,"Low","Low","Highest","None",0,"TA","TA","BrkTil","TA","High","No","Med","Unf",30.854497241083,30.854497241083,"GasA","Med","Y","Med",0,42.1188793773054,0,0,2,0,2,2,"TA",8,"Med",2,"TA","Med",1931,21.6333076527839,"Y",9.48683298050514,0,205,0,0,0,"None","None",4,2008,"Med","Med",11.7745202026587
10,190,"RL",86.1394218694321,"Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Low","Artery","fmCon",5,"6",1939,1950,"Low","Low","Med","None",0,"TA","TA","BrkTil","TA","High","No","High","Unf",11.8321595661992,31.4801524773944,"GasA","Ex","Y","High",0,32.8176781628439,1,0,1,0,2,2,"TA",5,"High",2,"TA","High",1939,14.3178210632764,"Y",0,2,0,0,0,0,"None","None",1,2008,"Med","Med_High",11.6784399034478
