"Id","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","DtSold"
1,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,"None","None","None",0,"WD","Normal",2008-02-01
2,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
3,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,"None","None","None",0,"WD","Normal",2008-09-01
4,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,"None","None","None",0,"WD","Abnorml",2006-02-01
5,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
6,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,"None","MnPrv","Shed",700,"WD","Normal",2009-10-01
7,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
8,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,"None","None","Shed",350,"WD","Normal",2009-11-01
9,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,"None","None","None",0,"WD","Abnorml",2008-04-01
10,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,"None","None","None",0,"WD","Normal",2008-01-01
11,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-02-01
12,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,"None","None","None",0,"New","Partial",2006-07-01
13,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,"None","None","None",0,"WD","Normal",2008-09-01
14,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,"None","None","None",0,"New","Partial",2007-08-01
15,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,"None","GdWo","None",0,"WD","Normal",2008-05-01
16,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2007-07-01
17,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,"None","None","Shed",700,"WD","Normal",2010-03-01
18,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,"None","None","Shed",500,"WD","Normal",2006-10-01
19,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
20,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"COD","Abnorml",2009-05-01
21,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,"None","None","None",0,"New","Partial",2006-11-01
22,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,"None","GdPrv","None",0,"WD","Normal",2007-06-01
23,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,"None","None","None",0,"WD","Normal",2008-09-01
24,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
25,"Unf",1,270,"TA","TA","Y",406,90,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-05-01
26,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
27,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
28,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
29,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,"None","None","None",0,"WD","Normal",2006-12-01
30,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
31,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-07-01
32,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-06-01
33,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,"None","None","None",0,"WD","Normal",2008-01-01
34,"RFn",2,447,"TA","TA","Y",0,38,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
35,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
36,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,"None","None","None",0,"WD","Normal",2006-09-01
37,"Unf",2,672,"TA","TA","Y",392,64,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
38,"Fin",2,498,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-10-01
39,"Unf",1,246,"TA","TA","Y",0,52,0,0,0,0,"None","None","None",0,"WD","Abnorml",2010-01-01
40,"None",0,0,"None","None","N",0,0,0,0,0,0,"None","None","None",0,"WD","AdjLand",2008-06-01
41,"RFn",2,440,"TA","TA","Y",0,138,0,0,0,0,"None","GdWo","None",0,"WD","Abnorml",2006-12-01
42,"RFn",1,308,"TA","TA","P",0,104,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
43,"RFn",2,504,"TA","Gd","Y",240,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-12-01
44,"Unf",1,308,"TA","TA","Y",145,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-07-01
45,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-05-01
46,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"None","None","None",0,"WD","Normal",2010-02-01
47,"RFn",2,670,"TA","TA","Y",168,43,0,0,198,0,"None","None","None",0,"WD","Abnorml",2009-08-01
48,"RFn",3,826,"TA","TA","Y",0,146,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
49,"None",0,0,"None","None","N",0,0,102,0,0,0,"None","None","None",0,"New","Partial",2009-06-01
50,"Unf",1,386,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-01-01
51,"Fin",2,388,"TA","TA","Y",0,75,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
52,"Unf",2,528,"TA","TA","Y",112,0,0,0,0,0,"None","MnPrv","Shed",400,"WD","Normal",2006-09-01
53,"Unf",2,516,"TA","TA","Y",106,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
54,"Fin",3,894,"TA","TA","Y",857,72,0,0,0,0,"None","None","None",0,"WD","Normal",2006-11-01
55,"Unf",2,572,"TA","TA","Y",0,50,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-02-01
56,"RFn",2,576,"TA","TA","Y",0,0,0,407,0,0,"None","None","None",0,"WD","Normal",2008-07-01
57,"Fin",2,480,"TA","TA","Y",115,0,0,0,0,0,"None","None","None",0,"WD","Abnorml",2009-08-01
58,"RFn",2,565,"TA","TA","Y",0,70,0,0,0,0,"None","None","None",0,"WD","Normal",2006-08-01
59,"Fin",3,641,"TA","TA","Y",192,0,37,0,0,0,"None","None","None",0,"New","Partial",2006-10-01
60,"Unf",1,352,"TA","TA","Y",196,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-01-01
61,"Unf",2,576,"TA","TA","Y",0,50,0,0,0,0,"None","None","None",0,"New","Partial",2006-05-01
62,"Unf",1,288,"TA","TA","N",0,0,144,0,0,0,"None","None","None",0,"WD","Normal",2007-03-01
63,"RFn",2,484,"TA","TA","Y",120,49,0,0,0,0,"None","None","None",0,"WD","Normal",2007-10-01
64,"Unf",2,480,"TA","TA","Y",12,11,64,0,0,0,"None","GdPrv","None",0,"WD","Normal",2010-04-01
65,"RFn",2,645,"TA","TA","Y",576,36,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2009-02-01
66,"RFn",3,852,"TA","TA","Y",192,151,0,0,0,0,"None","None","None",0,"WD","Normal",2007-10-01
67,"RFn",2,576,"TA","TA","Y",301,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-07-01
68,"RFn",2,558,"TA","TA","Y",144,29,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
69,"Unf",1,220,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
70,"Fin",2,667,"TA","TA","Y",0,21,114,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
71,"Fin",2,516,"TA","TA","Y",300,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-02-01
72,"Unf",2,360,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
73,"Fin",2,427,"TA","TA","Y",0,94,0,0,291,0,"None","None","None",0,"WD","Normal",2009-12-01
74,"Unf",2,490,"TA","TA","Y",0,0,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2010-05-01
75,"Unf",1,379,"TA","TA","Y",0,0,202,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
76,"Unf",1,297,"TA","TA","Y",120,101,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-11-01
77,"Unf",1,283,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
78,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-01-01
