"Id","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt"
1,"Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd","2003"
2,"Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","1976"
3,"Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd","2001"
4,"Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd","1998"
5,"Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","2000"
6,"Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"None","Attchd","1993"
7,"Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2004"
8,"Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd","1973"
9,"Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd","1931"
10,"Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd","1939"
11,"Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd","1965"
12,"Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn","2005"
13,"TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","1962"
14,"Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2006"
15,"TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd","1960"
16,"Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","1991"
17,"Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd","1970"
18,"TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"None","CarPort","1967"
19,"Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"None","Detchd","2004"
20,"TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"None","Attchd","1958"
21,"Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","2005"
22,"Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","1930"
23,"Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2002"
24,"TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","1976"
25,"Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd","1968"
26,"Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2007"
27,"TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd","2005"
28,"Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","2008"
29,"TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd","1957"
30,"Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"None","Detchd","1920"
31,"TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd","1920"
32,"Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"None","Attchd","1966"
33,"Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","2007"
34,"Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd","1959"
35,"Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","2005"
36,"Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","2004"
37,"Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Attchd","1995"
38,"Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd","1954"
39,"TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd","1953"
40,"TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,"None","None","None"
41,"Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","1965"
42,"Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd","1959"
43,"Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"None","Attchd","1983"
44,"TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd","1977"
45,"Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","1959"
46,"Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","2005"
47,"Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd","2003"
48,"Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","2006"
49,"Gd","Y","SBrkr",736,716,0,1452,0,0,2,0,2,3,"TA",8,"Typ",0,"None","None","None"
50,"Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","1966"
51,"Gd","Y","SBrkr",794,676,0,1470,0,1,2,0,3,1,"TA",6,"Typ",0,"None","Attchd","1997"
52,"TA","Y","SBrkr",816,0,360,1176,0,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd","1985"
53,"TA","N","SBrkr",816,0,0,816,1,0,1,0,2,1,"TA",5,"Typ",0,"None","CarPort","1963"
54,"Gd","Y","SBrkr",1842,0,0,1842,2,0,0,1,0,1,"Gd",5,"Typ",1,"Gd","Attchd","1981"
