"Id","MSSubClass","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","ScreenPorch","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","TotalSpaceSF","LotFA","RmsPerLivSpc","TotalBath","FPperSF","YearRemodAdd_tog","MasVnrArea_tog","BsmtFinSF1_tog","BsmtFinSF2_tog","GarageArea_tog","WoodDeckSF_tog","OpenPorchSF_tog","ScreenPorch_tog"
1,60,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","High",7,"5",2003,2003,"Low","Low","VinylSd","VinylSd","BrkFace",196,"Gd","TA","Other","Gd","High","No","High",706,0,"GasA","Ex","Y","High","Gd","High","Low","High",2003,"RFn",2,548,"TA","TA","Y",0,61,0,"Low","None","None",0,"Med","Med_High",208500,2566,156.923881554251,0.00467836257309942,3,0,1,1,1,0,1,0,1,0
2,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","Med",6,"8",1976,1976,"Low","Low","Med","Low","None",0,"TA","TA","Stone","Gd","High","Gd","Med",978,0,"GasA","Ex","Y","High","TA","High","TA","High",1976,"RFn",2,460,"TA","TA","Y",298,0,0,"Low","None","None",0,"Med","Med_High",181500,2524,177.979589711327,0.00475435816164818,2,0.000396196513470681,1,0,1,0,1,1,0,0
3,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","High",7,"5",2001,2002,"Low","Low","VinylSd","VinylSd","BrkFace",162,"Gd","TA","Other","Gd","High","Med","High",486,0,"GasA","Ex","Y","High","Gd","High","TA","High",2001,"RFn",2,608,"TA","TA","Y",0,42,0,"Low","None","None",0,"Med","Med_High",223500,2706,174.066017177982,0.00335946248600224,3,0.000369549150036955,1,1,1,0,1,0,1,0
4,70,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","High",7,"5",1915,1970,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",216,0,"GasA","Med","Y","High","Gd","High","TA","Med",1998,"Unf",3,642,"TA","TA","Y",0,35,0,"Low","None","None",0,"Med","Med",140000,2473,157.72410142846,0.0040768782760629,1,0.000404367165386171,1,0,1,0,1,0,1,0
5,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",8,"5",2000,2000,"Low","Low","VinylSd","VinylSd","BrkFace",350,"Gd","TA","Other","Gd","High","Med","High",655,0,"GasA","Ex","Y","High","Gd","High","TA","High",2000,"RFn",3,836,"TA","TA","Y",192,84,0,"Low","None","None",0,"Med","Med_High",250000,3343,203.415241908225,0.00409463148316652,3,0.000299132515704457,1,1,1,0,1,1,1,0
6,50,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med","Fam","Low",5,"5",1993,1995,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","No","High",732,0,"GasA","Ex","Y","High","TA","High","Low","High",1993,"Unf",2,480,"TA","TA","Y",40,30,0,"Low","Med","Shed",700,"Med","Med_High",143000,2158,203.806565475145,0.00367107195301028,2,0,1,0,1,0,1,1,1,0
7,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","Med",8,"5",2004,2005,"Low","Low","VinylSd","VinylSd","Stone",186,"Gd","TA","Other","Ex","High","Med","High",1369,0,"GasA","Ex","Y","High","Gd","High","TA","High",2004,"RFn",2,636,"TA","TA","Y",255,57,0,"Low","None","None",0,"Med","Med_High",307000,3380,175.419121685066,0.00413223140495868,2,0.00029585798816568,1,1,1,0,1,1,1,0
8,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",7,"6",1973,1973,"Low","Low","High","Med","Stone",240,"TA","TA","Stone","Gd","High","Med","Med",859,32,"GasA","Ex","Y","High","TA","High","TA","High",1973,"RFn",2,484,"TA","TA","Y",235,204,0,"Low","None","Shed",350,"Med","Med_High",200000,3197,172.991152173551,0.00334928229665072,3,0.000625586487331874,1,1,1,1,1,1,1,0
9,50,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Low",7,"5",1931,1950,"Low","Low","Highest","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Med","Y","Med","TA","Med","TA","Med",1931,"Unf",2,468,"Fa","TA","Y",90,0,0,"Low","None","None",0,"Med","Med",129900,2726,129.230428862432,0.00450958286358512,2,0.000733675715333822,0,0,0,0,1,1,0,0
10,190,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","fmCon","1.5Unf",5,"6",1939,1950,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","High",851,0,"GasA","Ex","Y","High","TA","High","TA","High",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,"Low","None","None",0,"Med","Med_High",118000,2068,136.139421869432,0.00464252553389044,1,0.000967117988394584,0,0,1,0,1,0,1,0
11,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"5",1965,1965,"Med","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Low",906,0,"GasA","Ex","Y","High","TA","High","Low","Med",1965,"Unf",1,384,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",129500,2080,175.830052442584,0.00480769230769231,1,0,1,0,1,0,1,0,0,0
12,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",9,"5",2005,2006,"Med","Low","Med","Low","Stone",286,"Ex","TA","Other","Ex","High","No","High",998,0,"GasA","Ex","Y","High","Ex","High","TA","Highest",2005,"Fin",3,736,"TA","TA","Y",147,21,0,"Low","None","None",0,"High","High",345000,3499,194.19706955775,0.00473321858864028,3,0.000571591883395256,1,1,1,0,1,1,1,0
13,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"6",1962,1962,"Med","Low","High","Med","None",0,"TA","TA","Stone","TA","High","No","Med",737,0,"GasA","Med","Y","High","TA","High","Low","Med",1962,"Unf",1,352,"TA","TA","Y",140,0,176,"Low","None","None",0,"Med","Med_High",144000,1824,191.783795332954,0.0043859649122807,1,0,1,0,1,0,1,1,0,1
