"","id","mssubclass","mszoning","lotarea","street","lotshape","landcontour","utilities","lotconfig","neighborhood","condition1","condition2","bldgtype","overallqual","overallcond","yearbuilt","yearremodadd","alley_grvl","alley_pave","landslope_sev","landslope_mod"
"1",1,60,1,8515,1,0,0,1,0,"CollgCr",0,0,0,7,5,2003,2003,0,0,0,0
"2",2,20,1,9680,1,0,0,1,1,"Veenker",1,0,0,6,8,1976,1976,0,0,0,0
"3",3,60,1,11318,1,1,0,1,0,"CollgCr",0,0,0,7,5,2001,2002,0,0,0,0
"4",4,70,1,9610,1,1,0,1,2,"Crawfor",0,0,0,7,5,1915,1970,0,0,0,0
"5",5,60,1,14344,1,1,0,1,1,"NoRidge",0,0,0,8,5,2000,2000,0,0,0,0
"6",6,50,1,14200,1,1,0,1,0,"Mitchel",0,0,0,5,5,1993,1995,0,0,0,0
"7",7,20,1,10159,1,0,0,1,0,"Somerst",0,0,0,8,5,2004,2005,0,0,0,0
"8",8,60,1,10382,1,1,0,1,2,"NWAmes",2,0,0,7,6,1973,1973,0,0,0,0
"9",9,50,2,6171,1,0,0,1,0,"OldTown",1,0,0,7,5,1931,1950,0,0,0,0
"10",10,190,1,7470,1,0,0,1,2,"BrkSide",1,1,1,5,6,1939,1950,0,0,0,0
"11",11,20,1,11270,1,0,0,1,0,"Sawyer",0,0,0,5,5,1965,1965,0,0,0,0
"12",12,60,1,12009,1,1,0,1,0,"NridgHt",0,0,0,9,5,2005,2006,0,0,0,0
"13",13,20,1,12968,1,2,0,1,0,"Sawyer",0,0,0,5,6,1962,1962,0,0,0,0
"14",14,20,1,10743,1,1,0,1,0,"CollgCr",0,0,0,7,5,2006,2007,0,0,0,0
"15",15,20,1,10920,1,1,0,1,2,"NAmes",0,0,0,6,5,1960,1960,0,0,0,0
"16",16,45,2,6171,1,0,0,1,2,"BrkSide",0,0,0,7,8,1929,2001,0,0,0,0
"17",17,20,1,11241,1,1,0,1,3,"NAmes",0,0,0,6,7,1970,1970,0,0,0,0
"18",18,90,1,10863,1,0,0,1,0,"Sawyer",0,0,2,4,5,1967,1967,0,0,0,0
"19",19,20,1,13761,1,0,0,1,0,"SawyerW",3,0,0,5,5,2004,2004,0,0,0,0
"20",20,20,1,7630,1,0,0,1,0,"NAmes",0,0,0,5,6,1958,1965,0,0,0,0
"21",21,60,1,14316,1,1,0,1,2,"NridgHt",0,0,0,8,5,2005,2006,0,0,0,0
"22",22,45,2,7506,1,0,1,1,0,"IDOTRR",0,0,0,7,7,1930,1950,1,0,0,0
"23",23,20,1,9817,1,0,0,1,0,"CollgCr",0,0,0,8,5,2002,2002,0,0,0,0
"24",24,120,2,4268,1,0,0,1,0,"MeadowV",0,0,3,5,7,1976,1976,0,0,0,0
"25",25,20,1,8246,1,1,0,1,0,"Sawyer",0,0,0,5,8,1968,2001,0,0,0,0
"26",26,20,1,14340,1,0,0,1,2,"NridgHt",0,0,0,8,5,2007,2007,0,0,0,0
"27",27,20,1,7260,1,0,0,1,2,"NAmes",0,0,0,5,7,1951,2000,0,0,0,0
"28",28,20,1,11576,1,0,0,1,0,"NridgHt",0,0,0,8,5,2007,2008,0,0,0,0
"29",29,20,1,16368,1,1,0,1,3,"NAmes",0,0,0,5,6,1957,1997,0,0,0,0
"30",30,30,2,6384,1,1,0,1,0,"BrkSide",1,3,0,4,6,1927,1950,0,0,0,0
"31",31,70,0,8550,1,0,0,1,0,"IDOTRR",1,0,0,4,4,1920,1950,0,1,0,0
"32",32,20,1,8544,1,1,0,1,3,"Sawyer",0,0,0,5,6,1966,2006,0,0,0,0
"33",33,20,1,11134,1,0,0,1,2,"CollgCr",0,0,0,8,5,2007,2007,0,0,0,0
"34",34,20,1,10622,1,1,0,1,0,"NAmes",0,0,0,5,5,1959,1959,0,0,0,0
"35",35,120,1,7373,1,0,0,1,0,"NridgHt",0,0,3,9,5,2005,2005,0,0,0,0
"36",36,60,1,13526,1,0,0,1,0,"NridgHt",0,0,0,8,5,2004,2005,0,0,0,0
"37",37,20,1,10971,1,0,0,1,2,"CollgCr",0,0,0,5,5,1994,1995,0,0,0,0
"38",38,20,1,8606,1,0,0,1,0,"NAmes",0,0,0,5,6,1954,1990,0,0,0,0
"39",39,20,1,7990,1,0,0,1,0,"NAmes",0,0,0,5,7,1953,2007,0,0,0,0
"40",40,90,1,6105,1,0,0,1,0,"Edwards",0,0,2,4,5,1955,1955,0,0,0,0
"41",41,20,1,8742,1,0,0,1,0,"NAmes",0,0,0,6,5,1965,1965,0,0,0,0
"42",42,20,1,17020,1,0,0,1,0,"Timber",0,0,0,5,6,1959,1959,0,0,0,0
"43",43,85,1,9180,1,1,0,1,3,"SawyerW",0,0,0,5,7,1983,1983,0,0,0,0
"44",44,20,1,9200,1,1,0,1,3,"CollgCr",0,0,0,5,6,1975,1980,0,0,0,0
"45",45,20,1,8015,1,0,0,1,0,"NAmes",0,0,0,5,6,1959,1959,0,0,0,0
"46",46,120,1,7719,1,0,0,1,0,"NridgHt",0,0,3,9,5,2005,2005,0,0,0,0
"47",47,50,1,12870,1,1,0,1,3,"Mitchel",0,0,0,7,5,2003,2003,0,0,0,0
"48",48,20,4,11180,1,0,0,1,0,"Somerst",0,0,0,8,5,2006,2006,0,0,0,0
"49",49,190,2,4489,1,0,0,1,0,"OldTown",0,0,1,4,5,1920,2008,0,0,0,0
