"","x1stflrsf","x2ndflrsf","grlivarea","totrmsabvgrd","centralair_y","masvnrarea","totalbsmtsf","mssubclass","lotarea","overallqual","neighborhood","yearbuilt","overallcond","garagecars","garagearea","openporchsf","paveddrive_fy","saletype_fcwd","garagefinish_fnone","fence_fnone","fireplaces","heatingqc_ex","saleprice"
"1",856,854,1710,8,1,196,856,60,8515,7,0,2003,5,2,548,61,1,0,0,1,0,1,208500
"2",1262,0,1262,6,1,0,1262,20,9680,6,1,1976,8,2,460,0,1,0,0,1,1,1,181500
"3",920,866,1786,6,1,162,920,60,11318,7,0,2001,5,2,608,42,1,0,0,1,1,1,223500
"4",961,756,1717,7,1,0,756,70,9610,7,2,1915,5,3,642,35,1,0,0,1,1,0,140000
"5",1145,1053,2198,9,1,350,1145,60,14344,8,3,2000,5,3,836,84,1,0,0,1,1,1,250000
"6",796,566,1362,5,1,0,796,50,14200,5,4,1993,5,2,480,30,1,0,0,0,0,1,143000
"7",1694,0,1694,7,1,186,1686,20,10159,8,5,2004,5,2,636,57,1,0,0,1,1,1,307000
"8",1107,983,2090,7,1,240,1107,60,10382,7,6,1973,6,2,484,204,1,0,0,1,2,1,200000
"9",1022,752,1774,8,1,0,952,50,6171,7,7,1931,5,2,468,0,1,0,0,1,2,0,129900
"10",1077,0,1077,5,1,0,991,190,7470,5,8,1939,6,1,205,4,1,0,0,1,2,1,118000
"11",1040,0,1040,5,1,0,1040,20,11270,5,9,1965,5,1,384,0,1,0,0,1,0,1,129500
"12",1182,1142,2324,11,1,286,1175,60,12009,9,10,2005,5,3,736,21,1,0,0,1,2,1,345000
"13",912,0,912,4,1,0,912,20,12968,5,9,1962,6,1,352,0,1,0,0,1,0,0,144000
"14",1494,0,1494,7,1,306,1494,20,10743,7,0,2006,5,3,840,33,1,0,0,1,1,1,279500
"15",1253,0,1253,5,1,212,1253,20,10920,6,11,1960,5,1,352,213,1,0,0,0,1,0,157000
"16",854,0,854,5,1,0,832,45,6171,7,8,1929,8,2,576,112,1,0,0,0,0,1,132000
"17",1004,0,1004,5,1,180,1004,20,11241,6,11,1970,7,2,480,0,1,0,0,1,1,1,149000
"18",1296,0,1296,6,1,0,0,90,10863,4,9,1967,5,2,516,0,1,0,0,1,0,0,90000
"19",1114,0,1114,6,1,0,1114,20,13761,5,12,2004,5,2,576,102,1,0,0,1,0,1,159000
"20",1339,0,1339,6,1,0,1029,20,7630,5,11,1958,6,1,294,0,1,0,0,0,0,0,139000
"21",1158,1218,2376,9,1,380,1158,60,14316,8,10,2005,5,3,853,154,1,0,0,1,1,1,325300
